ID,700052000,700052001,700052002,700052003,700052004,700052005,700052006,700052007,700052008,700052009,700052070,700052071,700052072,700052073,700052074,700052075,700052076,700052077,700052078,700052079
1-palmitoyl-GPA (16:0),"629,173","257,654","593,042","645,007","289,616","422,108","451,273","1,039,165","367,861","672,193","353,445","390,046","311,361","265,121","659,052","446,263","351,053","269,235","417,941","386,547"
1-palmitoyl-GPC (16:0),"570,109,632","625,275,904","559,672,320","517,222,240","517,896,224","495,387,008","609,981,376","516,555,776","596,259,520","558,410,048","559,365,120","673,483,904","547,042,432","532,989,088","580,863,616","493,880,640","556,603,136","549,018,816","472,230,912","561,184,256"
1-palmitoyl-GPE (16:0),"10,139,347","9,766,870","9,900,101","9,216,017","6,905,782","7,726,391","10,510,517","7,931,784","10,085,371","9,219,255","11,028,178","9,852,645","5,653,298","9,047,966","9,788,200","9,494,912","8,367,771","10,306,372","7,492,972","10,691,310"
1-palmitoyl-GPG (16:0)*,"243,217","224,241","187,325",,"187,659","328,175","197,238","263,345","247,217",,"228,078","329,686","156,038","196,243","275,374",,,,"142,867","288,187"
1-palmitoyl-GPI (16:0),"7,947,221","13,051,449","6,316,964","8,997,051","10,667,953","7,697,955","7,955,284","7,502,871","10,290,952","9,652,640","8,949,924","13,264,879","3,758,230","6,927,849","7,619,685","7,426,793","7,918,870","13,484,363","6,338,411","6,705,092"
1-ribosyl-imidazoleacetate*,"8,399,666","11,842,170","10,740,568","9,764,417","9,666,233","13,961,996","10,213,274","12,422,395","10,980,728","10,102,306","10,871,686","9,639,165","13,381,470","9,057,709","12,037,844","11,370,668","10,010,855","9,172,262","7,897,596","14,893,766"
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),"1,009,349,504","1,181,275,008","1,135,799,040","900,126,976","876,130,368","841,202,816","833,897,664","1,003,404,544","778,029,184","1,028,014,400","856,026,624","1,284,706,560","601,383,360","972,785,280","1,027,299,648","1,090,992,768","1,006,608,960","1,014,065,536","1,175,155,456","950,900,352"
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),"24,195,818","33,566,784","24,073,154","25,655,138","12,861,015","16,020,320","25,117,546","18,507,158","20,508,910","21,858,662","21,410,962","22,934,626","5,494,458","20,685,208","20,469,080","26,487,662","16,432,024","21,815,992","15,647,264","25,632,608"
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),"18,797,132","23,835,148","23,809,464","21,315,190","13,353,127","15,964,108","17,678,686","22,959,272","19,889,324","22,494,226","18,752,160","24,447,242","9,533,819","15,961,055","18,577,654","18,837,446","20,873,080","18,548,644","17,889,466","12,673,698"
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),"757,013","855,902",,"1,080,702","1,340,494","2,072,618","661,664","1,679,205","367,958","762,926","890,493","371,586","1,066,996","788,682","1,498,720","659,884","1,572,900","1,477,662","725,892","1,141,571"
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),"490,477,568","629,243,904","536,118,208","468,516,928","416,437,504","391,537,888","430,185,920","457,814,400","355,920,960","507,994,464","476,479,296","664,157,952","345,657,888","443,902,240","454,802,944","537,361,728","442,245,920","448,571,264","502,772,480","476,983,040"
